Submission ID,Respondent ID,Submitted at,Loan Id,"Using a scale from 0 (not likely) to 10 (very likely), how likely are you to recommend MoPhones to friends or family?",What is the main reason for your score?,What is one thing we could do to improve your experience with us?,Are you happy with the quality and performance of your MoPhones device?,Are you happy with the service and support provided by MoPhones?,Have you ever experienced a delay in your payment reflecting in your Mophones account?,Have you ever had difficulty getting assistance from MoPhones customer support when needed?,(If Yes) – Please describe the challenge you faced and how we can improve your experience.,Have you experienced any battery-related issues with your MoPhones device?,Have you used the MoPhones app (MoApp) to manage your account or make payments?,Which communication channel do you prefer when contacting MoPhones for inquiries or support?,Have you ever had your phone lock despite making a payment on time?,Any other Feedback?
Ek6XNXl,Gxe0L9L,10/7/2025 15:31,rec1jeOAjGr6HABrf,5,My device had an issue and when I returned it and later wanted another device I was told I'm blacklisted,Understand people differently based on their profession and dynamism in their income.,,,,,,,,,,
gDz0kzN,Jy26JK,10/7/2025 15:31,recg0P2FUlp4lWJyx,5,Slow to responses,Faster Response,,,,,,,,,,
D4aNZEp,v12Jav,10/7/2025 15:31,recmp8AsCsmLWa4Ve,9,Good customer service,Non,,,,,,,,,,
xXzplNr,rjDEVAN,10/7/2025 15:31,recjjO6LDN8X6PoVX,10,The service was top notch?? when I purchased my galaxy s23 ultra,Just have the phones stocked well so that we don't have to wait for long when u get them from another shop,,,,,,,,,,
Y59Qxbz,kdbZ5OJ,10/7/2025 15:31,recMHKrFYE7pVBUWu,0,BAD CUSTOMER CONDUCT YOU TOOK MY PHONE,Shut your business down,,,,,,,,,,
A79djjk,9qNlOlY,10/7/2025 15:31,rectM1B04klu30a5v,0,"poor in customer service,the staff are rude while handling client",Communication skill,,,,,,,,,,
aQz6AgZ,5BX220d,10/7/2025 15:31,rec1OIi2NpZM20NTJ,9,"Mophones Is the most trusted so far hence I can recommend anyone to use it. Personally I have trusted it, it's now a year since I took your product and it's fairing well.",Customer services. Consider some repairs that are not physically damaged to be incurred by your company like the issue of LCDs and internal services.,,,,,,,,,,
q4zdkk7,2EjrLrV,10/7/2025 15:32,rechJnln4ar2Kys5l,10,10 because I used them the service is excellent and well informed of next steps,Servicesing of broken screens while on warrant basis,,,,,,,,,,
0QkxD2y,VLp8Vdj,10/7/2025 15:32,recneSXfg5hOJ6BJw,9,,,,,,,,,,,,
eqz6YVl,1o5Web,10/7/2025 15:33,recECEYNiXDMfy3MY,1,Your phone has no network..the moment I cleared my loan it stopped working on network..I came to your office I found no help,You need to improve on client handling and also your communication is poor,,,,,,,,,,
dWz6kyr,2EjrLDb,10/7/2025 15:33,recDJd0uVxyuqj8LC,0,Phone was faulty and you couldn't help. Had to buy another phone,I'm no longer your customer so don't worry,,,,,,,,,,
rjY6k7R,Npq0LOp,10/7/2025 15:34,recF7NFz221C59n6M,8,"I over pay my weekly payments, which are over payed by around 2 weeks. I don't know why my phone would be locked anytime am delayed.",Manage your coordination on payment status,,,,,,,,,,
obzyvkx,1AWEMqM,10/7/2025 15:35,recid8FcEhCiKetNS,0,Disappointed,Do good inspection of your phones before giving them out,,,,,,,,,,
aQz6vKb,lbaRLQW,10/7/2025 15:35,recgTKlZpEZ5BSVpA,1,I had a bad experience with your phone.,After sale service,,,,,,,,,,
rjY6vBv,gDb4LxD,10/7/2025 15:35,recACZXbkqh68lAhg,10,Affordable,"The statement on lock screen saying ""THIS DEVICE BELONGS TO YOUR ORGANISATION""...sucks ??",,,,,,,,,,
2Eoe7dA,z4o1MZ,10/7/2025 15:37,rec607KQ1I0kygaIV,10,Good customer service,Customer paying phone damages on the phone warranty period,,,,,,,,,,
NpP6d2b,QKo0YMl,10/7/2025 15:37,recmELq0YzKfewCxt,0,"Your phone did not last 6 months it died
 I lost my money considering i paid for the full price when i bought it
 
 So pathetic!",Tell your customers the truth that those phones are not worthy after 6 months,,,,,,,,,,
gDz0zeO,ODQ0Y0g,10/7/2025 15:37,recTa8o3gQkTm3lP4,9,Very reliable,Customer service while called,,,,,,,,,,
5BVzMPb,8Vy6Ek,10/7/2025 15:37,recPT4PrZZJvosLvB,9,Your customer service and reliability,Reduce the the weekly charges to be affordable,,,,,,,,,,
KYG6G58,A7r8Dxz,10/7/2025 15:37,rec1JeJogv0cqJzMD,0,Full of lies,Fucking,,,,,,,,,,
1ARlpag,rjDEVkL,10/7/2025 15:37,rec5dH3r25V398IPX,8,"The quality and nature of products(high-end) is good, but TAT for service is a little slower. I found 3 attendants who seemed overwhelmed by the clients who were there,so it took me about 1 hour 40 minutes to complete an upfront purchase and registration.","Include your phone number and location on Facebook advertisement. 
 
 Include sales receipt and issue it to customers during purchase. A receipt is a security and a legal document which should accompany the Warrant card.
 
 Expand your offices in major and medium towns across the country for accessibility and more physical visibility.",,,,,,,,,,
BzeX0Qe,BzEBZy5,10/7/2025 15:38,recEDpvdWdSQkaGdU,10,Mophones really saved me alot of money. I found it quite convenient. Thank you mophones.,Timely notifications on when exactly the phone is gonna lock.,,,,,,,,,,
44O8zWA,aQOGE6X,10/7/2025 15:38,rec9UTMMuRZFfKngJ,1,I got poor service with my phone. Went back many times. I am glad it was stolen.,"Give true picture of the phone,and better repair. The personal were good though",,,,,,,,,,
VLN0DAa,A7r8D7N,10/7/2025 15:38,recHxYTtxn9uT2Qb4,0,Poor service on Matters to do with 3days,If am unable to pay my installment on time you switch of my phone yet I have called and requested for 3days additional,,,,,,,,,,
D4aNMll,PdR0Y6B,10/7/2025 15:38,recxNImmL8FD1BIKD,0,I know the phone is in bad condition but still sell it to unsuspecting customer.,Integrity.,,,,,,,,,,
7REWEMa,vGX2LWd,10/7/2025 15:39,rech9ClGZouPtVigW,10,I love the phone,Network,,,,,,,,,,
2EoeDzg,PdR0l8d,10/7/2025 15:39,rec3RsSYcfdmWh6pa,3,Same usual problems with the refurb phones. Eg loss of network,Start selling new phones,,,,,,,,,,
81rKrYO,81Ne8Vr,10/7/2025 15:40,recQJWCGAZ7yuy0k7,8,Good customer service,Communication,,,,,,,,,,
Y59Q9B5,dWbPjXV,10/7/2025 15:41,recebTQslFDDWAhyt,10,Personal experience,Give customers three notices before disconnecting,,,,,,,,,,
eqz6oDx,pbeVW8J,10/7/2025 15:41,recwLCaLv0AaqfjIt,10,,,,,,,,,,,,
ZjeNeky,7YE8DA,10/7/2025 15:41,recAvwO3c2RyeIchE,0,Overheating,Have a new phone,,,,,,,,,,
VLN0xPM,LZD0YQj,10/7/2025 15:42,recKgj5wAZF9obMo0,10,,,,,,,,,,,,
44O8GrY,9b97yY,10/7/2025 15:42,rec230ba05zEI0qFM,10,,,,,,,,,,,,
Pdr6rqQ,Y5jdYBN,10/7/2025 15:42,recIsFsjDHYwz3zfz,2,"Poor customer service
 Quality of the phone and operation not good as promised",Reach back fast to clients,,,,,,,,,,
J9o6oQY,Ekq0D7l,10/7/2025 15:42,recNF4aS9ndFq234V,2,Had a Very bad experience with my second phone with you.Was been locked every Monday even when payed already for.,Check your systems and rectify...,,,,,,,,,,
BzeX9z1,LZD0Y8p,10/7/2025 15:43,rec3YEhYfiNLJqQPX,2,"Coz you don't send a reminder message for me to make payment 
 
 The app for making payment is not straight forward.",Make a best easy and flexible way to make payment,,,,,,,,,,
BzeXeMY,bXEe57,10/7/2025 15:43,recCl39jCFDPDnThA,0,I have escalated issues with this phone for MONTHS with no assistance. I've been paying for a phone that I don't use.,Nothing. Never coming back and would never recommend.,,,,,,,,,,
dWz6RgV,PdR0XAx,10/7/2025 15:44,recBh1pGsl0v216OQ,7,,,,,,,,,,,,
LZObo9y,PdR0YKV,10/7/2025 15:45,recM999x8LmmlnFnU,0,I was very disappointed by your services,Give up your customers better services,,,,,,,,,,
ODEzVJK,Zj9JzEa,10/7/2025 15:45,recNmYAICNbGwh03f,,10,"By giving out Loans when customers have truly finished payments, second see on how to prevent advertisements that distributed when customers are online.",,,,,,,,,,
J9o6BQ4,xbzQD9,10/7/2025 15:45,rec53E3OyJBVAdLJb,8,Good service and gadgets.,Real time feedback,,,,,,,,,,
aQz6kNE,q45PKvY,10/7/2025 15:46,recYS0Eyz3AgQrhYb,6,,,,,,,,,,,,
ODEzrGM,9qNlEyG,10/7/2025 15:46,recmlSQKXEXKFz4jD,10,,,,,,,,,,,,
rjY6gPX,ODQ1x6M,10/7/2025 15:46,rec4mbScaK9uUoXKK,0,,,,,,,,,,,,
ODEzVEk,jaeeYOJ,10/7/2025 15:47,recgSzfmR0lkqUKIp,10,"I recommend the Samsung Galaxy S20 Plus for its smooth performance, great camera, and vibrant display. It's a reliable phone that still holds up well even today.","Everything okay, maintain the same.",,,,,,,,,,
WOqNQOP,zxEerLa,10/7/2025 15:47,recwMLUrBzdrBxUVZ,0,Poor service,"Inorder for my phone to be repaired, i was asked to make payments that are equal to a new phone",,,,,,,,,,
1ARlONW,rjDEdZX,10/7/2025 15:49,recrIFC19uNRVLQa2,10,Your services and phones are on another level.,Just keep up the spirit.,,,,,,,,,,
pbzK56y,QKo0J6X,10/7/2025 15:49,rec9uezPOYeTYk2pA,8,Better performance,Check on batteries before delivery,,,,,,,,,,
XxQDNDg,XPAoBj,10/7/2025 15:50,recoL7Nev6OtG283P,8,It is reliable and flexible,"One thing that I find odd is then my phone is locked and I need to pay, my phone has to be connected to the internet. Considering that I pay during the weekends and also getting support from one of your agents can be difficult you have to wait till Monday. 
 Here's my few Ideas.
 1. Have someone to work on the weekends Saturday and Sunday 
 2. Send us a reminder that our payment is due say in 2 days or is due today. This is because most of the time I personally forget about it. 
 3. Have an offline payment method where by after payment the phone can unlock without connecting to the internet. Watu wa ushago najua wanateseka sana hehe",,,,,,,,,,
QK4Djkg,A12B9z,10/7/2025 15:51,recVeb3nsKPemvjIK,4,"The phone had battery issues f4om day one ,it was never sorted out and at some point it would lock 4ven when I had paid .2",Folk9w up on clients to find out their experiences,,,,,,,,,,
J9o6G0K,Y5jdMX6,10/7/2025 15:51,reczlx4Gxw6M5oQrU,0,After I was involved on a road accident was hospitalized for 4 months you people concluded that am not able to pay and took the phone aways after paying ksh 17000 without even considering my request.,Don't only consider the well being of your phone but for your customers too,,,,,,,,,,
1ARlxkM,5BX2qzM,10/7/2025 15:51,rec19aKRAlDJPYYs2,10,it is serving me well,I thing you are best,,,,,,,,,,
zxdqON1,RGWLB0l,10/7/2025 15:51,rec7BX1DrUn89HEHM,9,9,Service delivery,,,,,,,,,,
dWz6gkA,zxx5GJM,10/7/2025 15:52,receVPnDmfS5FWpY8,10,I am happy for your Excellent Services.,Kindly Improve on Your Network Services While one is Calling or Receiving Calls.,,,,,,,,,,
jazypP9,Gxe0B0z,10/7/2025 15:52,recad3K2zReHq7oYk,8,Genuine and reliable,Nothing,,,,,,,,,,
b5z7De2,jrzV2R,10/7/2025 15:52,receZqSPKKw8UDIKZ,10,Reliability and convenience,Response time to customer issues,,,,,,,,,,
XxQDgRL,VLp81o6,10/7/2025 15:52,recQKqFwlqP1bC2rd,1,NA,NA,,,,,,,,,,
9q4Wx4G,D4qeJjE,10/7/2025 15:52,recCOWMvphTOJqA29,8,"The phone kinda good, and the entire service form sales agent ??",The permission aren't flavoring ?? the phone can't accept other apps from other phones why do you guys restrict the permissions,,,,,,,,,,
gDz0pEJ,LZD0Mx1,10/7/2025 15:54,recTkCAlCxumVS1FX,,,,,,,,,,,,,
44O8qgr,vGX2x5A,10/7/2025 15:54,recM40JqaHdWapRkj,4,,,,,,,,,,,,
aQz6oNb,rjDEr45,10/7/2025 15:56,recl5ESGKXWh8o36s,3,I took my phone for repair and it took centuries and had to look for alternative phone,Customer service,,,,,,,,,,
rjY6p9L,yPXDqRB,10/7/2025 15:56,recrLhfYw6M5cpxZA,5,"1. There’s no iPhone app version
 2. The USSD app/menu has wrong/dead links. Barely usable
 3. I wish I could see all my transactions on the app (total loan, interest paid & balance amounts)
 4. Customer support is not available before 9am! They should be available (in shifts)",There should be an apple/iPhone app,,,,,,,,,,
gDz0rZK,D4qeXql,10/7/2025 15:57,reczwCI9Q1TdaNIyl,10,Legit products,Let call customer care service be 24hrs,,,,,,,,,,
ZjeNyDe,Ekq0Bxr,10/7/2025 15:58,rechE1UaqhFDINegf,9,I haven't experience any difficulties with my gadget except for internet connection,Nothing,,,,,,,,,,
1ARl5eO,xXVZ0PG,10/7/2025 15:58,rech03dcYx5zngEPj,9,,,,,,,,,,,,
vGzApkg,1AWE2QM,10/7/2025 15:58,recrauM2sd3Byiny5,10,"Clean gadgets, renewed with great reliability and durability. Humbled staff, I like how the staff handle customer's queries whenever you seek assistance.",The prices for cash purchases need to be reviewed in order to match the current market price.,,,,,,,,,,
0Qkx5pP,Gxe0oXz,10/7/2025 15:59,rec6JqpJnoH2KaG4B,9,Not having issues with the first phone,Follow ups to your clients,,,,,,,,,,
jazy2K6,Gxe0oB2,10/7/2025 16:00,rec6zaCMr7JF5u2Fm,0,You refused to replace my screen,I don't think you treat me very bad,,,,,,,,,,
7REWjJP,81NeP4k,10/7/2025 16:00,recPM6tTTXnajMlw3,10,Originally made phones.very polite services whenever visits office.understand ing explanatory about the phone u choose.,"I would recomend u to adjust paying hours to evening between 7:30 pm to 8:30 pm.this Will not affects my day time business.suppose I have a long delivery having not completed and the phone is switched off,in some cases money collection is done between those hours,for work done during the day.",,,,,,,,,,
xXzpBrr,Gxe0BZz,10/7/2025 16:00,recA833vaNpjDLDg5,10,"Your phone devices are sleek and attractive, the staff are so friendly and helpful.",Providing screen protectors and covers even if it comes as separate package.,,,,,,,,,,
9q4W5zK,WOJ0eDQ,10/7/2025 16:00,recDKCh02HMN3xJon,10,I wanted a good quality phone with a perfect camera,I think everything was good for me,,,,,,,,,,
q4zdMJk,68Dx1BP,10/7/2025 16:00,recXpKsu5yYfFJiKg,10,,,,,,,,,,,,
b5z7yYE,kdbZ0P1,10/7/2025 16:00,rec279CLwSL7CzePV,7,,,,,,,,,,,,
Ek6XEDo,RGWLZQ9,10/7/2025 16:01,recZ0uTregdj21Ijc,,You are cons,Just stop stealing from people,,,,,,,,,,
5BVzDQN,Zj9JG00,10/7/2025 16:01,reczpdRz7rRZSxAqK,1,,,,,,,,,,,,
KYG6ZVV,b5ZO2g6,10/7/2025 16:02,reciXDay368u4JigQ,10,Cause you guys are good at customer service i enjoyed your services and gaming too like spin the wheel,For new customers would you just offer them the t shirts that's all,,,,,,,,,,
q4zdM8G,VLp8oLl,10/7/2025 16:03,recek3hRBGZTFtNu3,9,Original products,24 hrs customer service,,,,,,,,,,
XxQDkj4,VLp8ojN,10/7/2025 16:03,recCPnDzZjPyaXRh4,4,Phone price ie exploitery,The pri es are too high,,,,,,,,,,
obzyaD5,KYp086X,10/7/2025 16:04,recqMKdQs6nE2smeD,8,Good quality phones,Bring samsung fold,,,,,,,,,,
D4aNEzl,2EjrOr9,10/7/2025 16:05,recQKhZgLkrX2YeNA,10,Reliable,Abit more clarity on interest charge,,,,,,,,,,
D4aNEPX,Zj9JPgA,10/7/2025 16:06,recXpZvv0q9N4iMEQ,10,Good,Work on batteries life,,,,,,,,,,
Ek6Xr2r,Y5jdVBN,10/7/2025 16:07,recYjlCBT4E1VWKy4,,,,,,,,,,,,,
Ek6XrMo,D4qe0Mj,10/7/2025 16:07,recPrui29b3dh6fy5,8,I have a client and am ok with mophones services,Slightly decrease the amount,,,,,,,,,,
xXzpLRG,zxEeW11,10/7/2025 16:09,recOLoOb2BuLtvnr8,6,Because things are never same since my phone needed screen replacement they never gave me the phone,Honestly reliability and also improve in enabling daily payment's rather than weekly,,,,,,,,,,
lbzyX15,44ajAk5,10/7/2025 16:11,recJdIHNJ20Y1uFCL,10,"Seamless purchase process.
 Responsive customer service.",You guys are perfect,,,,,,,,,,
Pdr6ND5,0QVP1A6,10/7/2025 16:12,recslQte7n1H1Dk1H,2,Poor customer service,,,,,,,,,,,
A79dNEl,Xx5q1RY,10/7/2025 16:12,recRR5Nohu4U3ojuQ,10,Excellent customer service,"Everything is good, keep up the good work!",,,,,,,,,,
b5z7XP6,REBJzv,10/7/2025 16:13,recZWT8ma3hOZdZ59,10,Affordability,The payment system used to delay unlocking until after contacting customer support.,,,,,,,,,,
GxbzjQj,VLp8oDE,10/7/2025 16:13,recWOPoO5uHLcryHq,0,"You sold me a phone with a battery at 79% it was discharging from 100 to 0 in 7hours. I had to charge twice every day. This was realized within the first month of purchase yet I couldnt get a battery replacement under the warranty which clearly covered 6months.
 The ladies who purportedly served as the sales agents dont know basic information about phones. Things like ROM megapixel screen resolution man refresh rate bezels they couldnt explain why my phone can't recieve updates. They had initially sold me the phone with no configurations for a dual Sim yet I had implicitly stated that I wanted a dual sim I had to travel back to Nairobi for the e Sim configuration and they refuted to reimburse my fair yet it was their mistake.",Get people who know basic shit about phones not some dunder heads highschool dropouts retrogressive alleged technocrats.,,,,,,,,,,
MeVb250,KYp069A,10/7/2025 16:15,recc4f0SpTvrOWVLY,0,"Poor handling of clients 
 The gadget hanging always",Move from refurbished to brand new gadgets,,,,,,,,,,
0QkxYpP,xXVZRMo,10/7/2025 16:16,recql5kphjLtb0byU,10,,,,,,,,,,,,
D4aNOVq,76K7Q6,10/7/2025 16:19,recFMeRMi3dlCkVFk,9,IPhone pro 14,Not 10,,,,,,,,,,
44O80dr,eGzXYe,10/7/2025 16:20,recRWTGs5DWMaJVUb,10,Because they are good,All with me,,,,,,,,,,
NpP6NNl,REMMWv,10/7/2025 16:20,recDJGIYNc9INt9hw,8,The bettry capacity,,,,,,,,,,,
1ARl0LW,ob9O5YV,10/7/2025 16:21,recpax9Az9Bia5Qbm,0,You sold me a fake phone,Be genuine and stop over charging people in the name of lipa polepole,,,,,,,,,,
2Eoe98b,D4qex6j,10/7/2025 16:21,recjHEtpWJ0NqCcHU,10,,,,,,,,,,,,
jazy8bY,kX1xpR,10/7/2025 16:22,recW13hYCrONQAH6j,7,COZ SOMETIMES INASUMBUA,Extend by one day,,,,,,,,,,
A79dMQN,76K7Q6,10/7/2025 16:24,recFMeRMi3dlCkVFk,10,Not 20,Not 10,,,,,,,,,,
44O8lGB,L8bp6j,10/7/2025 16:25,recdwb1ZE12dJR9yw,9,Updates on payment,Lower hire purchase,,,,,,,,,,
b5z71aL,jaexk09,10/7/2025 16:25,recuzC5r1bVAHHBOt,9,,,,,,,,,,,,
gDz08rM,QKo0OD8,10/7/2025 16:25,recVbAZPr5PlhvsRD,2,"Because the phones develop issues after a while, the batteries are poor can't even keep charge for 3 hours plus",Improve you batteries and use grade A parts for replacement,,,,,,,,,,
Y59Q78B,xXVZl99,10/7/2025 16:25,rec4WKXxiHPeUTNbu,8,,,,,,,,,,,,
NpP61Vp,2EjrDyD,10/7/2025 16:27,recOF4eLtymouM7b4,9,,,,,,,,,,,,
ODEzMQK,J910WMX,10/7/2025 16:27,recAPYRMe8j7JPBE4,10,"Very great performance, customer service is top notch. And the prices are super affordable",I am yet to find a flaw in your product or service,,,,,,,,,,
1ARlz0L,Npq0MYO,10/7/2025 16:29,recWoHn2KefFqO8hH,5,Your products are good,"Put your long term customers at first consideration bygiving them good discounts or fair price on their 2nd or 3rd to 4th product , like for me i want a fourth phone but you giving me only 25% which is not fair, so plz do something good so that i may be a good ambassador to you products",,,,,,,,,,
Pdr6Jz0,7RXZpja,10/7/2025 16:29,recw9LOHtjJECfZOs,5,Customer service executives are a little slow to respond to calls and solve client's issues timely. Some lie too much.,"As I said, you need to improve on customer service.",,,,,,,,,,
xXzp5ly,xXVZlWo,10/7/2025 16:30,recQZBWKRROsjcN42,8,Your services and customer care are good,To allow us download apk aps,,,,,,,,,,
44O8bJO,KYp0kMV,10/7/2025 16:31,recscU384poyRqiFM,10,Exce,,,,,,,,,,,
b5z7Qp7,q45Pv58,10/7/2025 16:31,reciFJJARxnKUqUko,0,You have very very poor service,I can't even advise anyone to take your phone,,,,,,,,,,
0QkxR2j,Y5jdkGN,10/7/2025 16:32,recijYrluip1diZlN,0,You said you'd refund 7k if I returned the device in good condition only to have my device confiscated and I lost over 40k,You should tell customers the truth when it comes to return policy,,,,,,,,,,
xXzpWPk,b5ZOv2o,10/7/2025 16:32,rec7MF365rfb6d0HQ,9,,,,,,,,,,,,
ODEzM5k,LZD06gl,10/7/2025 16:32,recbn3lZ5D2te7TEb,9,"Your devices are really original
 Delivery time is also quite good","At least to lower the cost, it's a bit too high",,,,,,,,,,
ODEzNda,b5ZOvYe,10/7/2025 16:32,recs9f8VOyjO3DkKe,10,,,,,,,,,,,,
rjY6ZGo,vGX2KJA,10/7/2025 16:35,recuGMkR576N8p845,10,Operatin is nice,Nalipanga kila siku lakini nashindwa ati kuna deni ya 2000 na 60 how?,,,,,,,,,,
LZOb2LO,5BX2MoN,10/7/2025 16:36,recMVXX3E5E3u0v0B,10,Your products are of good quality and I love your customer services,Have a daily package to accommodate everyone on board,,,,,,,,,,
jazyVd1,5BX2M7E,10/7/2025 16:36,recYyTvL8l9qcrSFv,10,Reliability,Speedy delivery,,,,,,,,,,
vGzAZBQ,q45Pz42,10/7/2025 16:37,recfvQcniw4Vx3lhG,7,My battery is draining so much,Check on batteries,,,,,,,,,,
eqz6X9x,VLp8Dva,10/7/2025 16:38,recwtDAUK4jEOSRIM,6,This is because I have njoyed the service to the phone I borrowed,Have a repair expertee in that when that phone customer have borrowed it happen to a problem you as a company the phone can repaired whether screen or software problem then the continue paying the amount of the repair in a daily routine as per the agreement. Thanks,,,,,,,,,,
ZjeN76z,PdR0kMb,10/7/2025 16:39,rec8zQiucqnokRo7C,4,Too much restrictions on phone software,Improve of software and have flexibility on payment plans on reducing balance plan,,,,,,,,,,
QK4DZGg,pbeVz0B,10/7/2025 16:40,recpvdj2Waf3ud0fi,1,R,R,,,,,,,,,,
44O86MO,gDb4zN4,10/7/2025 16:42,rec7mletbSVNNuKDZ,9,Easy and seamless process,Easier phone setup after payment is completed.,,,,,,,,,,
yP16BJ8,WOJ0qQJ,10/7/2025 16:42,recOA7uec3u0vScv2,10,They do have a good customer service,Need more discount,,,,,,,,,,
b5z7oj7,ob9OzzV,10/7/2025 16:43,recccAeDziTfQ4MmQ,3,After my phone needed repairs I was to pay way above the market price yet still I had not yet finished payment,Make your repairs a little fair prices as that in the market,,,,,,,,,,
b5z7Pjo,BzEB9v4,10/7/2025 16:50,recaMvCK6MGg1raZU,10,Good,Nice,,,,,,,,,,
xXzpG7E,q45PNpY,10/7/2025 16:51,recWO0ZWJCntqhyXc,8,Timeliness,"When a customer has a good history of repaying loans on time, it’s reasonable to give them some flexibility if they happen to delay a payment occasionally.",,,,,,,,,,
b5z7PDg,gDb4gMl,10/7/2025 16:53,recUeKApfN1vSdTDx,10,,,,,,,,,,,,
A79dZLW,0zyZ10,10/7/2025 16:53,recVpz33OSKrdNUw6,3,Since i got my phone a month later it started some network issues which i raised the concerns but till date nothing was done,Customer care is excellent but technicians need to attend to the concerns raised,,,,,,,,,,
XxQDZYd,eq5Ey8e,10/7/2025 16:56,recOo2lhrO1LD9eB4,8,,,,,,,,,,,,
pbzK8WZ,Zj9JWXo,10/7/2025 16:58,recoBb6bvHrh9Oh5j,1,Your loans are expensive and I didn’t like how you guys handled my case.,Make loans more affordable. Have customer friendly policies.,,,,,,,,,,
QK4DPjX,VLp8qKa,10/7/2025 16:59,recWnFPVPPUWvUKlP,10,You have phones that are good and also at good prices,I wish you could give people second chances. We need this phones if someone for example does a mistake more than once you can flag them. But please give people second chances we all deserve it.,,,,,,,,,,
J9o6NqX,Zj9Jgae,10/7/2025 17:00,recFsZeRhWTznTm7c,10,Good,,,,,,,,,,,
eqz6dEe,aXgv7Z,10/7/2025 17:02,recrcMGJsUiNoN5gn,10,Nice gadgets and good afternoon sale service.,Lower the deposit.,,,,,,,,,,
81rK0RY,Y5jdgJ6,10/7/2025 17:03,recZAdXq7W0CSKRDt,10,Customer service,Online response,,,,,,,,,,
A79dV7o,2EjrZKD,10/7/2025 17:03,recsZj3A8aFAWHv4y,4,"The price was increased,I was supposed to pay around 43k but it increased to above 50k,I felt bad because even at the starting I paid deposit of around 24k",To be clear with you product,,,,,,,,,,
LZObQBy,87jk15,10/7/2025 17:03,recaPiLlh98LqouUG,10,,,,,,,,,,,,
b5z70zE,PdR0gk0,10/7/2025 17:05,recrSfcnYHURTQezR,0,Nilichukuwa simu kwenyu na next following day screen ikaanza kutoa ma black color after kurudi sha mkakata kutengeneza na mkachukua simu yenyu na amkunipe deposit yangu,Try kutengenezea mtu simu yake,,,,,,,,,,
MeVbk2E,x75RJv,10/7/2025 17:08,recWX90V19DskyGw5,5,,,,,,,,,,,,
rjYlyjl,VLp8yDv,10/7/2025 17:10,recJ5LHoyWvCyyBMl,10,The phone condition is good and the customer service,Everything is good for now,,,,,,,,,,
81rdoPr,jaex241,10/7/2025 17:12,recJIRNmgYvRsLNab,10,Great customer service,Communication,,,,,,,,,,
b5zlVXe,44ajyXX,10/7/2025 17:14,recxu4HH5QnXWx6qy,8,Very efficient service,Time of delivery n servi e of phone when it has a problem,,,,,,,,,,
7RXYAKa,kX1JJj,10/7/2025 17:14,recwbToLECRbZgHYX,10,Because I bought my phone to mophones and it has never disappointed me,Maybe to trade in,Yes,Yes,No,"No, I have never looked for customer care",,,,,,
BzeG4Pe,JrBV2Y,10/7/2025 17:15,recxKCi0IOYz2dVPE,9,Good service,Improve on phone varieties,,,,,,,,,,
44O2a4d,yPXDRLd,10/7/2025 17:21,recO2jqVqqfabvOJe,1,Be kind,Do what innide,,,,,,,,,,
A79l7ae,WOJ0Bgj,10/7/2025 17:23,recqa5ouDuokr6ywO,6,"I took aphone there but i was disappointed alot, the battery was bad, even after returning the phone for battery change it was still bad, i didnt enjoy atall mpaka nikarudisha phone.",If a customer complained about something you are supposed to act imediately so that the same mistake cant repeat,,,,,,,,,,
9q4dNyE,44ajDoB,10/7/2025 17:24,recZj1iE8vfTh4g0V,10,Effective,Network after payment may take time,,,,,,,,,,
dWzYbKy,4YloK5,10/7/2025 17:25,recftVSzV6iDE3Tq6,10,They are the best service provider,Reduce the price products,,,,,,,,,,
2Eo4j1A,ERXMeX,10/7/2025 17:25,recri36SyjFAYah5u,10,Availability,To reduce the cost of phones,,,,,,,,,,
xXzdr7E,7RXZOq2,10/7/2025 17:29,reconqDFRsPI2d1Jn,10,Good experience,Reduce prices,,,,,,,,,,
b5zlqE0,xXVZEXk,10/7/2025 17:36,recHKoUtnTcAkpyXU,10,"Good services and nor harassment on payment
 Quality products and good performance rate..","Get more phone with good specifications 
 Iphone - 12Ram, storage 512gb and above
 Android (Samsung) - 12Ram, storage 512gb and above",,,,,,,,,,
LZOd7b1,44ajY4B,10/7/2025 17:36,rec9QfK6NOEZ47cXs,10,Customer service,Timely feedback especially on whatsup,,,,,,,,,,
xXzdMzd,KYp046g,10/7/2025 17:38,recDAMzyaWcYlH4Gg,10,,,,,,,,,,,,
D4aVkZl,QK2lOvk,10/7/2025 17:39,recmt7GssqlpbMs5q,10,Good products and excellent customer service,Reduce delays in your delivery team,,,,,,,,,,
RGjzMed,rjDEQdR,10/7/2025 17:40,recHb4fFgHNwXky5I,9,Your products are good. Genuine,Customer service,,,,,,,,,,
zxdKyv0,Gxe0V0L,10/7/2025 17:41,rechSE7oyLj94IQYZ,10,Quality service for premium affordable gadgets.,App experience is somehow sub-optimal on reflecting current client status in regards to payments. Definitely needs improvement.,,,,,,,,,,
vGzNDbg,Npq0xKl,10/7/2025 17:44,recPJ9o99tVYispQZ,7,II am a pleased client,Nothing really,,,,,,,,,,
Ek6PlRX,ODQ0qlK,10/7/2025 17:45,recfaWHOoSS2mlJZO,7,Charging system,Improve on this,,,,,,,,,,
68PdZqJ,ob9ONNX,10/7/2025 17:50,recgVqyfRDIkzXXIi,8,Overall good experience,Variety.,,,,,,,,,,
rjYlP7o,7RXZ7J6,10/7/2025 17:55,rec5NC5QbX0hUBmm1,,8,8,,,,,,,,,,
